input,output
"""기왕 올 거면 내가 있을 제 오세요. 왜, 그렇게 어색해할 건가요? 오래간만에 친구 찾아오는 거니까요. 그런 일 없었다는 걸로 해주세요. 친구 찾아 강남도 가는데 친구 찾아 천리간 오기로 했으니 그 정도로 번거로워질 건 없잖아요?""",이러한 메시지를 받은 후에는 그도 그럼직했다. 지난 가을부터 
"""안녕, 안녕""",하며 초라한 대상을 미루어온 이유는 물론 15원이라는 교통비가 그의 생활을 보니까 큰 부담이었다. 그러나 그보다도 벌써 여러 번째로 A가 놀러오라고 잔소리하면서도 
"""응응""",이라고 대답만 해왔던 그로서 여성이 기다리고 있다고 해서 신이 났다면서 달려가는 것도 어색하면서도 이때까지 미뤄온 것이었다.
"""뭐, 가보시지요. 오래간만에 친구 만나보는 거니까요. 청초한 아름다운 여자가 기다린다고요... 어쩔 수 없잖아요. 그런 중에도 정성스런 팬이 있다니까요...""","훈이가 올라왔다가 A의 메시지를 보고는 이렇게 감정이 솟구쳤다. 그 때도 귀에 솔깃한 소리가 들리는 것을 참았다.훈이는 여러 해 만에 만나는 친구라는데다가 자신의 작품을 모두 읽은 한 여성이 기다린다는 것이 제 작품에 대한 정당한 평가를 그만두고 듣기 싫은 소리는 아니었다. 작품을 감상할 만한 여성이라면 첫째로 자기의 작품 같은 것에 시간을 허비하지 않을 테고, 그 동안 쓴 것을 모아둔 클리핑을 꺼내어 이십 삼 개의 작품을 읽었을 때의 그 여자의 감정을 상상해보면서 얼굴이 붉어지기도 했지만 그 여성을 한 번 보고 싶은 생각도 들었다."
"""에이구 오랜만이구, 에이구에 찾아가면 한둘 정도는 반색할 사람도 있는 거고, 오래간만에 서울에 가서 서울 사는 놈이야 별거 있나...""",그는 이렇게 이번 여행을 합리화시켜보았다.그러나 무엇보다도 그를 결단하게 만든 것은 요즈음 며칠째 삼각형으로 일그러진 아내의 얼굴이었다. 지난 가을에 집을 쫓겨났을 때는 돈 십 원 정도 생겼는데 그 때문에 아주 잠깐 선금을 내놓았더니 그 때부터 주인 아내가 한 달 두 달 동안 소 도 이런 모양 저런 모양으로 내려앉기만 하면서 괴로움을 주기 시작했다. 게다가 낯선 친구들이 며칠마다 그의 뒤를 밀어붙이는 것을 보니 겁을 먹은 모양이다.오랜 밥값도 못 되는데 다섯 달 동안 겨우 몇 푼 주고는 이번 달이면 시조미를 뗐다.그래도 신문사에 있는 장편소설이 팔린다는 소문 때문에 약간 눈치를 살짝 보던 주인은 그것도 성공하는 걸 어떻게 눈치 챈 건지 하루에 몇 번씩 김씨라고 어디선가 배워먹은 김씨에게 인사를 했다.
"""김씨, 오늘은 좀 생각해보셔야죠.""",
"""그냥 참아야죠.""",한성이가 입에 익을 만큼 되풀이해온 대답이었다.  
"""글쎄, 김씨는 정말 부끄러운 사람이네요... 분명히 상황을 알면 면포를 가져올 텐데! 이게 벌써 몇 달째니까요?""",
"""글쎄, 없는 걸 그렇게 이야기하실 건가요? 다른 사람들처럼 맘도 못 가지고 강도질도 못하고 말할 만한 곳은 다 막혔으니 어떡합니까? 신문사에서 그 소설을 팔아서 며칠만 더 참으세요!""",소경이 제 닭 잡아먹는 줄도 모른다는 식으로 그 흐릿한 며칠에 걸쳐 호랑감투를 벌이는 아내는 그의 계획이나 움켜잡듯이 따라붙었다.
"""십일월인 줄 아는데 계속해서 며칠만 계속해서 이렇게 이렇게 하지 말고 제대로 날짜를 말하세요.""",
"""그래요! 아니, 그 날은 안 될 거예요. 한 달 초에 해야지요. 그날은 예전부터 안 묻힌 깨끗한 날짜로만 드리려고요.""","이렇게 자신감 넘치게 말하며 그는 불어넘겼다.하지만 달 초일도 지났다. 달 초일만 지나면 그만일 텐데 아내는 이레일도 달 초일처럼 시달렸다. 이렇게 달 일이 벌써 몇 번이나 지나간 것인지 알 길도 없는 현재의 그다.이런 상황에서 운수가 좋지 않은 십원이 주머니 안으로 들어오자 돈을 내놓는 듯이 그 날 저녁에 A로부터 편지가 도착했다.A의 편지를 받자 마음은 다시 H시로 향했다. 북쪽이라고는 의정부 밖에 가보지 못한 그에게는 북국의 신흥 도시라는 것만으로도 마음을 사로잡기에 충분한 조건이었다. 그리고 오래간만에 친구를 만나는 것이 아니라 자신의 작품을 꾸준히 애정해준 한 여성이 자신을 기다리고 있다는 것이 A의 얘기만큼이나 혼자서 고독을 느끼던 그에게는 매우 흥미로운 것이었다. 이런 조건 때문에 그는 마음을 빼앗기고 열광했던 그 때로 돌아갔다.하지만 이런 조건이 그를 H시로 이끈 것은 사실이지만, 무엇보다도 상황이 매우 어려워진 것은 돈 십 원 때문이다. 십 원만 주면 또 얼마나 참아줄지 모르는 그였다. 어차피 끊을 수 없을 거면 가고 싶은 데에 가서 며칠 마음 편하게 놀다오리라는 엉뚱한 용기도 앞섰던 것이다. 어쨌든 그는 하늘의 별 따듯한 십 원을 시계 주머니에 꼬며 넣고 조심스럽게 몸을 움츠리고 나왔다. 겨우 두 시간이나 남은 시간 동안은 텅 빈 채로 앉아있었지만, 우선 A에게 도착 예정을 알렸으며 삼십 분 후에는 며칠 전부터 시작된 진고개 어귀에 있는 작은 찻집에서 향락처럼 찻잔 모서리를 쪽쪽 빨았다.도착한 후에야 목을 졸라 잡힌 채 종로 네거리에서 교통 정리를 받는 기분이었지만, 비록 막연한 불안은 없어졌다. 한강을 따라가면서 뒷걸음질을 받는 것 같은 불안에서 해방된 듯이 가슴이 넓어졌다.며칠째 계획하고 있던 여행이 마침내 몇 달 동안 진행되고 있다. 그런데 짐은 한 개의 고장난 만년필뚜껑 뿐이다. 모든 것이 완벽하게 진행되고 있음에도 어쩌면 완성되지 못한 느낌이 들었다. 창가에 기대어 앞으로 기다렸던 장편 소설을 마음껏 읽을 기대도 했지만 그렇지 못했다. 그는 찻간에서 더 늦어진 "
"""주간 조일""",이라는 책을 사들이고 그것을 뒤적이며 시간을 보냈다.의정부에 도착하자 찻간은 사람이 거의 없을 정도로 조용했다. 동저고립 바람과 어울리지 않는 중절모를 쓴 사람들은 거의 다 내려갔다.그의 맞은편에는 큰 짐을 메고 출구를 찾는 남자가 있었는데 까무족한 얼굴과 야무진 여덟팔자 수염이 사십대 될 쯤인 그의 모습은 의정부라고 외치자 줄달음을 치렀다.머리는 깍은 콧날이 날카로운 입술에서 시작된 고랑은 아랫입술까지 이어졌다. 얼굴 전체적으로 보면 안 맞을 것 같은 날카로운 귓바퀴. 부담짐을 지고 있기는 했을지 몰라도 균형잡힌 얼굴이었다.그는 그 얼굴을 자신이 쓰려는 소설의 여주인공 찬영의 아버지로 상상했다.그 얼굴은 보통 얼굴이 아니었다. 하지만 어디선가 조선 시대 한 사람의 전형적인 특징을 보여주고 있다고 생각했다. 게다가 그 얼굴은 양반의 얼굴이었다. 상투를 찌르기 위해 수염을 더 붙이고 흰털과 고동색 마고자를 섞어 고리마를 씌우고 삼팔바지를 입혀 까맣게 닦인 편리화를 신게 할 것이라고 생각했다.이 작품은 
""" ""","라는 제목으로 십 년 동안 작업되었다. 이 작품은 병규라는 아버지와 찬조, 찬식, 찬영 이라는 삼남매를 중심으로 기미년 전후의 십 년 동안 조선이 걸어온 길을 그린 것이다. 찬영은 조선의 전형적인 여성으로서 성장하고 있는 시기였다.마누라가 현실에서 벗어난 허영과 결합하지 못하고 비극적으로 끝나는 그 경로를 쓰려는 것이다.찬영은 예전에 그의 약혼자였던 현순을 모델로 삼았다. 아직도 부자가 될 수 있는 대대로 전해진 재산을 갖고 있던 때에 약혼했지만, 그의 파산과 함께 깨어진 너무나 가슴 아픈 기억이다. 팔 년 전의 일이었다.찬영은 그녀를 음탕하고 잔인하며 살벌한 여자로 만들 것이라고 생각했다. 못된 구렁에 빠져 숨이 풀리지 않을 때까지 닥닥하는 불행한 여인을 만들 것이라고 말이다.이런 복수욕이 가슴을 채우며 그의 마음을 가라앉히는 것은 마침내 현순이 마지막 밤에 문을 닫고 나가는 모습이었다.  현순의 굴욕을 남긴 채 떠나간 현순은 도리어 잊을 수 없는 존재였다. 미워할수록 그리워졌다. 미워하면서도 껴안고 싶을 정도로 미워하는 현순이었지만, 그의 품 안에 꼭 끼고 싶은, 아무렇지 않게 안아주고 싶은 현순이었다. 현순이라는 이름만 보아도 심장이 뛰었다. 그렇지만 그 이름조차도 보지 않으면 삶이 무의미한 것처럼 느껴졌다. 탄력이 없었다.현순은 아름다웠다. 그러나 한성이가 그녀의 아름다움에 끌렸던 것은 아니었다. 아름다움에 끌리긴 했지만, 아름다움보다 그의 결단력있고 끊임없이 맺고 끊는 성격에 사로잡혔다. 다른 여성들처럼 주저하거나 꾸미어대지 않고 단호하게 맺고 끊는 듯한 태도에 끌렸던 것이다. "
"""이제 너는 돈이 없어져서 미끄러져라.""","는 태도에 끌렸다. 만약 현순이 자신의 파산을 보고 마음이 변해 다른 남자와 거리를 둘 정도로 슬슬 피하게 되거나 자신의 마음이 변한 것을 나타내어 이쪽이 단단히 닫힐 수도 있었다면, 그는 그 자리에서 단념해버릴 수도 있었고, 또 그런 현순이라면 저쪽에서 목이 마르다고 덤빈다 하더라도 그가 아니었다."
"""그러면 당신은 김한성과 결혼한 것이 아니라 김한성의 재산과 결혼한 것이었던 건가요?""",라고 쏘아붙였을 때도 가늘게 뜬 눈으로 웃음을 지으며 방정식 같이 말한 현순이었다. 
"""처음부터 한성씨의 재산과만 결혼한 것이 아니에요. 허지만 한성씨에게 그만한 재산이 없었다면 약혼하지 않았을지도 몰라요. 아니, 애초에 그런 한성씨였다면 오늘날과 같은 환멸은 느끼지 못했을 거예요.""", 이렇게 자신을 박차고 간 여인의 치마끈을 잡고 얽어지지 않았던 한성은 아니었다. 그는 깨어진 가슴을 위해 속마음을 문학에 바쳤다. 읽고 썼다. 읽으며 머리 속에서 바삭바삭한 소리가 나도록 건조해진 머리 속에 새로운 열정이 생기는 것을 느꼈다. 쓸수록 한 걸음씩 앞으로 나가는 자신의 붓끝을 바라보며 혼자 기뻐했다.그리고 얼마 지나지 않아 현순이 전라도 어떤 과부의 아들과 결혼한다는 소문을 들었다. 이 소식을 전해준 평론가 R은 
"""어쩌면 귀여운 여자야. 현순이는 자신을 '거미줄을 타고 세상을 건너는 여자'라고 부르더니 그렇게 말하지. 거미줄을 타고 세상을 건너는 여자! 잘 맞는 말이지? 잘 맞는 말은 아니라고 하더라도 어쨌든 평범한 여자로서는 못할 말이야, 하하...""", 그리고 R은 
"""거미줄을 타고 세상을 건너는 여자""",라는 말을 여러 차례 반복해 입에서 흘린 것처럼 보였다.
"""거미줄을 타고 세상을 건너는 여자!""", 한성은 입속으로 중얼거려 보았다. 차는 새벽을 향해 빠르게 달리고 있었다. 대부분의 정거장은 그냥 지나치고 휙휙 지나갔다. 처음으로 나선 북국의 자연을 어둠 속에서 지나게 된 것을 아까이 여기며 그는 잠이 밀려왔다. H라는 북국의 신흥 도시에서 내렸을 때는 아홉 시 반을 조금 넘긴 때였다. 예상대로 A가 나와 있었다. 장꾼들한테서 길을 뺏겨 엉거주춤하며 내려오는 것을 모르고 적이 실망한 얼굴로 승강대를 바라보고 선 A는 팔을 내밀었다. 그는 짐 대신 팔을 내밀었다. 
"""정리했어?"" "" "" ""아니요."" "" "" ""참 H에 오기 어렵더라고요."" "" "" ""미안해요.""", 이런 대화를 주고받으면서도 이것이 세 년 만에 만난 친구 사이의 대화인가 하며 생각했다.  
"""어떡하지? 버스를 탈까? 걸을까?""",
"""마음대로. 내야 절에 가는 사치지.""",
"""뭐, 철장 같은 다리를 가졌는데 걸어가자니, 이야기도 할 겸.""",시골에서도 봄은 온 성했다. 오래된 구식 포드 차가 거리를 질주하는 것도 시골의 도시 맛이 났다.아스팔트 위를 그들은 천천히 걸어갔다.시골 도시라고 해도 봄 분위기가 전혀 어색하지 않았다. 진열된 가게 창에는 봄 상품들이 다 제자리를 차지하고 있었다. 북국의 미인을 대하는 듯한 청초한 분위기까지 느껴졌다.
"""최근에 바람이 자주 불고 있더니, 너 오는 날씨가 딱 좋네.""",
"""그래. 서울의 귀빈이 ─ 그나마 문인이 오는데 잘 보여야 좋은 인상을 주는 거야? 허허허.""","한성은 조금 웃음소리를 내며 양철을 두드리는 소리를 내었다.A는 한성이가 조금 혼란스러워하는 것처럼 좁은 골목을 왔다갔다 하며 그를 돌아다녔다. 그러더니 싸리 울타리에 달린 높은 대문 안으로 끌고 들어갔다.A의 하숙방은 책상 한 개와 책 몇 권, 이불 한 장으로 가득 차 있었다. 아침을 먹은 후 A는 한성을 반룡산으로 데려가기 시작했다.산길을 타고 올라가니 백년이 넘는 노송나무가 애송이 잔솔 모양으로 우거지며 멀리 H 평야에 무르익는 봄기운을 마시고 서 있었다. 붉은 흙은 부드럽고 따뜻한 듯하다."
"""저것이 성천강이야. 이것이 보이는 다리 말이야, 저것이 만세교야. 사흘만 더 일찍 왔으면 좋은 경치를 볼 수 있었을 텐데. 정말 볼 만해. 정월 보름날에는 다리를 건너는 풍습이 있는 거야.""","A는 주변을 가리키며 설명했다. 우편국이나 병원 등 눈에 띄는 큰 집들을 일일이 설명해주었다.한성도 시야에 새로운 것이 보이면 자연스럽게 물어보았다. 병사들의 연대나 감옥, 넓은 거리가 보이면 그 동네까지 일일이 물어보고 머릿속에 적어두었다."
"""저기는 어디야? 저기는 한적해 보이는데.""",그는 숲이 우거져 있는 곳을 가리키며 앞에 가느다란 강물이 반달 모양으로 흐르는 H 시외의 한 동네를 가리킨 후 가슴이 뛰어서 멈추었다.
"""B동이야.""",A가 대답한 이유였다.
"""B동?""","그것은 A의 이야기를 빌리면서, 저녁 노을에 홀로 피는 백장미처럼 청초한 미인이 살고 있다는 그 동네였다."
"""저기가 B동이라고?""",
"""왜 가슴이 두근거리지?""",
"""미친 놈! 가슴이 두근거릴 거야...""",말하면서도 한성은 얼굴을 붉혔다.  
"""대관절 뭘 하는 여자야?""",한성은 무엇보다도 그것이 궁금했다. 이미 
"""가네, 가네""","하고 떠난 이번 여행을 왜 이 계집이 있는지 갑자기 의심스러워졌기 때문에 자진해서는 말을 꺼내지 않으려고 한 것이다.하지만 이 한 번도 보지 못한 애독자가 그의 결심을 촉진한 것은 부인할 수 없었다. 상호간의 의사만 합치면 화해전쟁이 이루어진다는 말에 적이 불쾌한 인상까지 받았지만, 어쨌든 한 번 대해보고 싶은 호기심이 자신의 결심을 재촉한 것은 사실이었다. A 자신은 한성이라는 사람이 마음에 들기도 하고 생각할지 모르지만, 나이가 30을 넘은 노총각이 그만한 매력과 교양을 갖추었으며, 더욱이 자신 작품의 열렬한 애독자인 여자를 아내로 삼는다는 것을 거부할 사람도 없을 것이라 생각했다. 그러나 한성 자신은 오히려 자신이 선택받은 게 아니라, 남은 찌꺼기를 준다는 셈치고 자기에게 떠맡겨보려고 하는 그 태도에 모욕감까지 느끼는 것이었다. 만약에 그가 기혼자이고, "
"""누군가 이런 사람이 있다고 해서 안 만나보려고 할까?"""," 한다면, 물론 이런 얼어붙은 감정은 안 들었을지도 모른다."
"""한 번 만나보지 않을까?""",A는 들여다보듯이 재차 물었다.
"""글쎄, 만나봐도 좋을 것 같기는 한데 ─ 나 자신이, 그렇지만, 그냥 너무 가벼운 마음으로 차에 태워서 소개한다는 정도면 만나본다 해도 좋을 것 같아.""",
"""정말 참 까다롭네. 자네는 자기를 고른 거라고 생각하지만, 나에게는 단지 남은 찌꺼기만 남았다는 셈치고 내게 맡기려는 그 태도에 모욕감까지 느껴져.""",
"""갈까.""",
"""걱정할 필요 없어?""",
"""걱정이라니?""",
"""천천히 가도 좋겠지!""",
"""왜, 바로 가야지!""",
"""안 왔으면 모를까! 온 김이니까 장군의 무덤이라도 보고 가야 하잖아?""",
"""장군의 무덤?""",한성은 가슴이 웅장해졌다.
"""왜, 장군을 모르냐? 그 K사건으로 목숨을 잃은 장군 말야.""",
"""그래! 그래!""",한성은 소리를 질렀다.
"""장군을 내가 모르고 누가 알겠어!""","맞다, 장군을 알아본 사람은 한성이었다. 조선에 신경향문학이 들어오던 초기에 살인 주사침 같은 붓끝으로 우리의 슬픔을 노래하고 돌진하라고 외치던 장군. 잡지 "
"""화성""",을 활무대로 대중을 이끌고 가던 장군. 하지만 그는 붓끝에 매인 사람이 아니었다. 가느다란 붓끝으로는 펄펄 끓는 정열을 쏟아낼 길이 없는 장군이었다.  하루 아침 그는 붓을 버렸다. 분노에 불타는 마음을 가지고 붓을 화로에 던져 넣었다. 그리고 한성을 향해 외쳤다.
"""붓을 버려라!""",화가 난 상태로 분위기를 가득 채운 그는 
"""화성""",을 둘러싸고 있던 일곱 명의 동료 중 다섯 명이 강력하게 장군과 함께 행동했다. 그리고 천륜이라는 강한 인연으로 연결된 부자 형제의 계획에 따라 혈연을 끊고 불길 속으로 몸을 던져갔다.
"""너 같은 사람은 몇 만 명이 있어도 필요 없어. 그래서 붓을 버리면서 동강이라도 가져가!""","장군과 현순 ─ 그들은 좋은 대상이었다.그는 가볍게 한숨을 내쉬었다. 장군은 그로부터 약 1년이 되지 않아 사라졌으며, 현순도 떠나버렸다. 하나는 자신의 허영심 속으로 뛰어들고, 다른 하나는 다른 불길로 같은 열정과 결단력으로 뛰어들었다."
"""장군의 무덤은 여기서 어떤가? 공동묘지였지?""",그는 간신히 물었다.
"""응, 가볼까?""",
"""가야지! 가면 안될 면목은 없지만, 그대로 갈 수 있어. 여기서 멀리 있는가? 아니면 가깝나? 가보자.""",
"""웬걸, 20분 정도면 충분해. 가던 길에 우리 애독자도 한 번 가보는 게 어때? 우연히 가까우니까.""",A는 권했다.
"""하지만 장군의 무덤을 가면 우울해질 것 같아서 그 기분으로 낯선 사람을 대하는 건 실례 아닐까?""",한성은 이런 걱정까지 했다.
"""글쎄, 그게 나을지도 몰라. 누가 알겠어. 그 여자를 보는 게 장군의 무덤을 찾는 것보다 우울한 일이 될지…""",
"""왜 그래?""",한성은 어쩐지 가슴이 답답해졌다.
"""왜냐고? 글쎄, 그럴 이유가 있지. 만나보면 알게 될 것이지만…""",
"""이건 무슨 말인가?""",
"""허허허, 궁금하다고? 그렇게도 알고 싶은가?""",A는 이렇게 웃으며 한성을 보았다.
"""어어, 이 사람도…""",인류의 행복을 어깨에 짊어지고 싸워온 장군의 큰 목표와 그 의지는 한 평도 되지 않는 반룡산 한 구석에 흙을 뒤집어쓰고 있었다. 장만억 석자 중 억자는 겨우 알아볼 정도의 흔적만 남은 표지판을 보자 한성은 소리를 지르며 울었다.
"""너 같은 사람은 몇 만 명이 있어도 소용 없어!""",과거 그의 말이 그를 괴롭히고 울렸다.  과거에 자신이 걸어온 그 길은 커다란 검은 구멍으로 파고들어온 교활하고 간사한 상황을 교묘하게 피해온 장군의 모습을 한성은 추억하며 울고 울었다. 그러나 지하의 장은 그에게 눈물이 아니라 새로운 시작을 바라는 것을 한성은 알아채야 했다. 그러나 그는 너무나 초라한 계획을 세우고 있었다.
"""비라도 해 하나 세울 수 있었으면…""",그들은 구장터로 내려와서 H시의 명물인 국수 한 그릇을 주문해서 먹었다. 돗자리와 오지그릇을 벌여놓고 앉아있는 부인들을 구경하다가 가벼운 기분으로 A를 따라갔다.
"""H란 살기 좋은 곳, 란란란란…""",A는 가끔 편지를 할 때마다 창작 노래인 H예찬가를 쉴 새 없이 불러서 한성을 웃기려고 애쓴다.H고보를 옆으로 보며 영생고보 턱밑을 지나가서 대통 같은 골목으로 들어가던 A는 한성을 우물가에 세워놓는다. 그리고 맹세하듯이 말한다.
"""어떤 일이 있어도 우울해하지 말아야 해. 약속하겠지?""",
"""암.""",한성은 웃음을 섞어서 쾌쾌하게 대답한다. 다짐을 받은 A는 다시 걷기 시작한다. 그리고 우물가에서 여남은 집으로 가는 단축한 대문 앞에 서서 멈춘다.
"""여기 잠깐 서 있어.""",그리고 집 안으로 들어간다. 문패에는 박우순이라고 적혀있었는데 그 여자와 성격이 같았다. 안에서 문 여는 소리가 들린다. 그리고 잠시 조용해진 뒤 문이 다시 열리고 발소리가 다가온다. 한성은 마치 오랜만에 연인을 만나러 가는 것처럼 가슴이 설레며 귀를 기울인다.
"""들어와. 지금 감기에 걸려있어, 어떤가. 당신이 좋다는 대로 ─ 너만 있어도 그녀의 병이 나을 수 없을 것 같아.""",머뭇머뭇하는 한성을 이끌어서 A는 앞장을 선다. 그는 A의 지시대로 할 수밖에 없었다. 마당 안으로 들어서니 헐렁한 조그마한 화단 흔적이 보인다. 옆에는 철사로 얽은 닭집이 있다. 보기만 해도 이 집 주인은 순결하고 고상한 취미를 가지고 있을 것 같았다. 미닫이가 열린다. 그 소리에 한성의 가슴도 떨리지만 등장한 얼굴은 작은 소녀였다.
"""들어와.""","A는 다시 앞으로 나선다. 손이 왔음에도 불구하고 주인은 나타나지 않는다는 것이 상당히 불쾌했지만, 한성은 A를 따라 방으로 들어간다. 방은 비어있었다. 아랫목에 꽃을 놓은 돗자리와 재떨이에 은하 한 갑이 놓여있을 뿐이었다.  A의 지시에 따라 한성은 자리에 앉았다. 그러나 이 방에 들어온 이후로 한성은 도무지 마음을 진정시키지 못하는 A의 태도에 집중할 수밖에 없었다. 담배를 피우던 중에 일어나 정색한 A가 말했다."
"""저 방에 있는데 문을 열 때 조심해.""",한성은 킥하며 웃음을 터뜨렸다. 그리고 A의 손등을 꼬집었다.
"""A 선생님, 문 좀 열어주세요.""",옆방에서 누군가 말했다. 그 말소리로부터 한성은 매력적인 여인을 상상했다. A는 한성의 반응을 훔쳐보고 가만히 일어났다. 처음부터 끝까지 연극을 연기하는 것처럼 보이는 A를 감정적으로 보고만 있을 수밖에 없었다.그러나 문이 열리면서 한성은 A가 연극을 연기하는 것이 아니라는 것을 깨달았다. 연극은 연극일 뿐이었다. 그가 연극이라고 생각한 것은 A의 행동에 멈춘 것이었다.
"""김 선생님!""","그 얼굴의 소유자는 한성이 그렇게 자신을 불렀다고 생각했다. 그러나 사실은 그 여인은 아랫목을 내려다보고 눈물로 가득 찬 눈을 가졌을 뿐이었다. 그 여인은 잣빛 얼굴과 허물어진 머리, 벌어진 입으로 어려운 처지에 몸을 가누고 있는 것이 현순이었다."
"""오오, 현순!""",그 밖에 한성은 말을 할 수 없었다. 그는 A의 존재도 잊어버렸다. 그리고 현순을 보며 이불에 싸인 현순을 바라보았다.
"""선생님, 놀라셨나요?""",그는 대답할 수 없었다. 그 대신 A를 향해 물었다.
"""A군, 난 아무 것도 모르겠어. 네가 대답해 줘야 해.""",
"""나한테 대답을 해달라는 거야?""",A는 앉았다.
